,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
34,34,0.4868265688419342,2025-01-26 21:36:19.062124,2025-01-26 21:37:43.683990,0 days 00:01:24.621866,,8,0.9298136755941784,0.9543188872780093,19,,,,0.005087367595304972,0.009884526949167917,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
35,35,0.06665947288274765,2025-01-26 21:37:43.703382,2025-01-26 21:38:08.141460,0 days 00:00:24.438078,,8,,,19,,,,0.004897569852644158,0.003348867203051894,0.9599624912257618,RMSprop,,freezing,OneCycleLR,,0.9567727117974231,PRUNED
36,36,0.3606257736682892,2025-01-26 21:38:08.158354,2025-01-26 21:38:36.266198,0 days 00:00:28.107844,,8,,,17,,,0.4406362818575221,0.00829180426985392,,0.9899232399633612,SGD,,fine_tuning,StepLR,2.0,0.0001780517516932834,PRUNED
37,37,0.3442702293395996,2025-01-26 21:38:36.283723,2025-01-26 21:39:03.445273,0 days 00:00:27.161550,,8,0.9392782091186657,0.9558620092073176,19,,,,0.002798762630703596,0.0027409267113137725,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
38,38,0.11447929590940475,2025-01-26 21:39:03.464574,2025-01-26 21:39:28.373861,0 days 00:00:24.909287,,7,,,17,,,,0.006040791605645154,0.00905657801484208,0.9293898872716074,RMSprop,,freezing,OneCycleLR,,0.3408991443911715,PRUNED
39,39,0.4838326871395111,2025-01-26 21:39:28.390703,2025-01-26 21:40:50.645047,0 days 00:01:22.254344,,8,,,18,,0.48940729497110874,,0.00892345729734498,,0.932954670223172,SGD,5.0,fine_tuning,ReduceLROnPlateau,,0.00020528027179054107,COMPLETE
40,40,0.24964424967765808,2025-01-26 21:40:50.662648,2025-01-26 21:41:20.223335,0 days 00:00:29.560687,,7,0.918517256553972,0.9693043228322671,17,,,,0.003071923407571912,0.0005113189875155549,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
41,41,0.4105163812637329,2025-01-26 21:41:20.241345,2025-01-26 21:41:49.646170,0 days 00:00:29.404825,,6,0.9768451353922806,0.9373468363853912,18,,,,0.002437058533115515,0.009898572405310432,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
42,42,0.41031280159950256,2025-01-26 21:41:49.660950,2025-01-26 21:42:18.592643,0 days 00:00:28.931693,,7,0.9229121623666714,0.951369159250685,18,,,,0.0009461748259110512,0.005232015528116687,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
43,43,0.4866155683994293,2025-01-26 21:42:18.610258,2025-01-26 21:43:48.902309,0 days 00:01:30.292051,,7,0.903151712133159,0.9268101309611362,19,,,,0.0013752543927034652,0.009421920126354325,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
44,44,0.4814079701900482,2025-01-26 21:43:48.923087,2025-01-26 21:45:18.889064,0 days 00:01:29.965977,,7,0.9094122916529914,0.9269402922201898,19,,,0.332103389601059,0.0013424338304523103,,,Adam,,fine_tuning,StepLR,3.0,,COMPLETE
