,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
32,32,0.6202376484870911,2025-01-28 20:07:31.084581,2025-01-28 20:12:01.354025,0 days 00:04:30.269444,,4,0.9833091046580047,0.9386387228763634,13,,,,0.00036282008444657676,0.0016742782211364683,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
33,33,0.6063445806503296,2025-01-28 20:12:01.379552,2025-01-28 20:16:51.890147,0 days 00:04:50.510595,,4,0.9530862029154259,0.9516141045206759,14,,,,0.00013807838658317178,0.0030532970792620335,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
34,34,0.03677510470151901,2025-01-28 20:16:51.916924,2025-01-28 20:18:55.188778,0 days 00:02:03.271854,,5,0.9772713150870985,0.9238962158011028,11,,,0.4573620867447508,0.00017757495775458815,,,Adam,,fine_tuning,StepLR,2.0,,PRUNED
35,35,0.6640826463699341,2025-01-28 20:18:55.205714,2025-01-28 20:23:25.554366,0 days 00:04:30.348652,,4,0.9944057401668102,0.9794053369162471,13,,,,0.00022566113861826538,0.0008359838324083379,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
36,36,0.09663666039705276,2025-01-28 20:23:25.580367,2025-01-28 20:24:39.532549,0 days 00:01:13.952182,,6,0.9017993884478663,0.9834227422128011,13,,,0.3494149623457009,0.00022073694072710545,,,Adam,,freezing,StepLR,3.0,,PRUNED
37,37,0.6322856545448303,2025-01-28 20:24:39.549042,2025-01-28 20:29:09.258799,0 days 00:04:29.709757,,4,0.9702784527438311,0.9830596627916337,13,,,,0.00012712154619380243,0.0008049602976660236,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
38,38,0.0,2025-01-28 20:29:09.284663,2025-01-28 20:30:45.232819,0 days 00:01:35.948156,,8,0.9859641160669016,0.9348753942840966,13,,0.4972220355606433,,0.0004956446524903348,,,Adam,2.0,random,ReduceLROnPlateau,,,PRUNED
39,39,0.0,2025-01-28 20:30:45.249956,2025-01-28 20:32:26.543586,0 days 00:01:41.293630,,6,,,15,,,,0.001132395627082622,0.0006382601736749378,0.9314088283485333,RMSprop,,fine_tuning,OneCycleLR,,0.8903520271459014,PRUNED
40,40,0.0,2025-01-28 20:32:26.559480,2025-01-28 20:33:27.984321,0 days 00:01:01.424841,15.0,6,,,16,2.556793252212624e-06,,,0.005464364619267437,,0.9617661447718898,SGD,,freezing,CosineAnnealingLR,,0.0001994530114498658,PRUNED
41,41,0.6098232865333557,2025-01-28 20:33:28.001197,2025-01-28 20:37:37.010905,0 days 00:04:09.009708,,4,0.9969333097390415,0.9458527255363263,12,,,,0.00018005266873354477,0.001837144042994184,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
42,42,0.6255959272384644,2025-01-28 20:37:37.036847,2025-01-28 20:41:46.546769,0 days 00:04:09.509922,,4,0.967563684840802,0.9543128006572852,12,,,,0.00032115184081196057,0.001007322026722196,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
43,43,0.43791115283966064,2025-01-28 20:41:46.572805,2025-01-28 20:43:51.689975,0 days 00:02:05.117170,,4,0.9878197705324147,0.928396680325708,14,,,,0.00024031098461659646,0.003553699891463062,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
44,44,0.6221694946289062,2025-01-28 20:43:51.704993,2025-01-28 20:47:40.540174,0 days 00:03:48.835181,,4,0.9514906297218053,0.960300361095855,11,,,,0.00016505227418151772,0.001866613738607388,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
45,45,0.0,2025-01-28 20:47:40.566693,2025-01-28 20:49:23.788823,0 days 00:01:43.222130,,5,,,12,,,,0.0010682362624222935,0.0012817774702527387,0.9010251684916141,RMSprop,,fine_tuning,OneCycleLR,,0.32597478334152113,PRUNED
